Title:,"Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database",,,,,,,,,,,,,,,
SubTitle:,USA - Model: All Models - Vehicle Year: All Vehicle Years,,,,,,,,,,,,,,,
Time:,01/1975 - 12/2020,,,,,,,,,,,,,,,
Unit of Measure:,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
Citation:,"National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | Audi | BMW | Chevrolet | Ford | Jeep/Kaiser-Jeep/Willys-Jeep | Lexus | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3647B44",,,,,,,,,,,,,,,
ColumnCount:,17,,,,,,,,,,,,,,,
RowCount:,552,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time,"All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Jeep/Kaiser-Jeep/Willys-Jeep, All Models, All Vehicle Years, #","All Types, Lexus, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, Audi, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Jeep/Kaiser-Jeep/Willys-Jeep, All Models, All Vehicle Years, #","Automobiles, Lexus, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #"
Jan-75,7606,2,,1758,1624,,,7446,2,,1734,1598,,,,
Feb-75,7018,6,,1632,1396,,,6920,6,,1622,1392,,,,
Mar-75,8156,6,,1876,1722,,,8002,6,,1856,1694,,,,
Apr-75,8144,8,,1832,1604,,,7952,8,,1810,1578,,,,
May-75,9964,4,,2196,1936,,,9682,4,,2162,1886,,,,
